City1,City2,Distance,TollStation
LaoCai,HaGiang,200,0
LaoCai,VietTri,208,0
LaoCai,SonLa,250,0
HaGiang,CaoBang,249,0
HaGiang,VietTri,216,0
CaoBang,LangSon,125,0
LangSon,QuangNinh,145,0
LangSon,HaNoi,206,0
QuangNinh,HaiPhong,77,0
QuangNinh,HaNoi,184,50
HaiPhong,HaNoi,118,0
HaNoi,HoaBinh,74,0
HaNoi,VietTri,80,0
HaNoi,NinhBinh,105,0
NinhBinh,HoaBinh,120,90
HoaBinh,SonLa,230,0
HoaBinh,VietTri,79,0
VietTri,SonLa,227,0
NinhBinh,ThanhHoa,55,0
ThanhHoa,Vinh,152,0
Vinh,Hue,366,0
Hue,DaNang,95,0
Hue,QuangNam,180,0
QuangNam,DaNang,96,0
QuangNam,Pleiku,258,0
Pleiku,DaNang,339,0
Pleiku,BinhDinh,147,0
Pleiku,PhuYen,187,0
Pleiku,NhaTrang,280,150
Pleiku,DaLat,282,0
BinhDinh,PhuYen,146,0
PhuYen,NhaTrang,145,0
NhaTrang,NinhThuan,113,0
NinhThuan,DaLat,84,0
NinhThuan,PhanThiet,142,0
DaLat,NhaTrang,110,0
DaLat,BinhDuong,335,0
BinhDuong,BienHoa,70,0
BinhDuong,HoChiMinh,72,0
BienHoa,PhanThiet,179,70
BienHoa,HoChiMinh,30,200
BienHoa,VungTau,80,0
PhanThiet,VungTau,172,0
VungTau,HoChiMinh,95,0
VungTau,LongAn,144,0
LongAn,HoChiMinh,54,0
LongAn,VinhLong,91,0
VinhLong,CanTho,37,0
CanTho,AnGiang,108,0
CanTho,CaMau,140,0
