City1,City2,Distance,TollStation
LaoCai,HaGiang,200,
LaoCai,VietTri,208,
LaoCai,SonLa,250,
HaGiang,CaoBang,249,
HaGiang,VietTri,216,
CaoBang,LangSon,125,
LangSon,QuangNinh,145,
LangSon,HaNoi,206,
QuangNinh,HaiPhong,77,
QuangNinh,HaNoi,184,50
HaiPhong,HaNoi,118,
HaNoi,HoaBinh,74,
HaNoi,VietTri,80,
HaNoi,NinhBinh,105,
NinhBinh,HoaBinh,120,90
HoaBinh,SonLa,230,
HoaBinh,VietTri,79,
VietTri,SonLa,227,
NinhBinh,ThanhHoa,55,
ThanhHoa,Vinh,152,
Vinh,Hue,366,
Hue,DaNang,95,
Hue,QuangNam,180,
QuangNam,DaNang,96,
QuangNam,Pleiku,258,
Pleiku,DaNang,339,
Pleiku,BinhDinh,147,
Pleiku,PhuYen,187,
Pleiku,NhaTrang,280,150
Pleiku,DaLat,282,
BinhDinh,PhuYen,146,
PhuYen,NhaTrang,145,
NhaTrang,NinhThuan,113,
NinhThuan,DaLat,84,
NinhThuan,PhanThiet,142,
DaLat,NhaTrang,110,
DaLat,BinhDuong,335,
BinhDuong,BienHoa,70,
BinhDuong,HoChiMinh,72,
BienHoa,PhanThiet,179,70
BienHoa,HoChiMinh,30,200
BienHoa,VungTau,80,
PhanThiet,VungTau,172,
VungTau,HoChiMinh,95,
VungTau,LongAn,144,
LongAn,HoChiMinh,54,
LongAn,VinhLong,91,
VinhLong,CanTho,37,
CanTho,AnGiang,108,
CanTho,CaMau,140,
,,,
Flight,,,
HaNoi,HoChiMinh,2000,
HaNoi,Pleiku,1200,
NhaTrang,LaoCai,1600,
QuangNinh,DaNang,1000,
HaiPhong,HoChiMinh,2000,
